0.1,334.291
-3.76E-34,321.192
0.005,321.318
0.01,321.591
0.015,321.905
0.02,322.262
0.025,322.662
0.03,323.106
0.035,323.595
0.04,324.129
0.045,324.71
0.05,325.339
0.055,326.017
0.06,326.746
0.065,327.526
0.07,328.361
0.075,329.25
0.08,330.198
0.085,331.205
0.09,332.274
0.095,333.41
0.1,334.392
-3.47E-34,321.244
0.005,321.37
0.01,321.643
0.015,321.959
0.02,322.316
0.025,322.717
0.03,323.162
0.035,323.652
0.04,324.187
0.045,324.769
0.05,325.4
0.055,326.079
0.06,326.809
0.065,327.591
0.07,328.427
0.075,329.318
0.08,330.267
0.085,331.275
0.09,332.345
0.095,333.481
0.1,334.464
-3.18E-34,321.275
0.005,321.401
0.01,321.675
0.015,321.99
0.02,322.349
0.025,322.75
0.03,323.195
0.035,323.686
0.04,324.222
0.045,324.805
0.05,325.436
0.055,326.116
0.06,326.847
0.065,327.63
0.07,328.467
0.075,329.359
0.08,330.308
0.085,331.317
0.09,332.387
0.095,333.524
0.1,334.507
-2.89E-34,321.285
0.005,321.411
0.01,321.685
0.015,322.001
0.02,322.359
0.025,322.761
0.03,323.207
0.035,323.697
0.04,324.234
0.045,324.817
0.05,325.448
0.055,326.129
0.06,326.86
0.065,327.643
0.07,328.48
0.075,329.372
0.08,330.322
0.085,331.331
0.09,332.402
0.095,333.538
0.1,334.521
-2.60E-34,321.275
0.005,321.401
0.01,321.675
0.015,321.99
0.02,322.349
0.025,322.75
0.03,323.195
0.035,323.686
0.04,324.222
0.045,324.805
0.05,325.436
0.055,326.116
0.06,326.847
0.065,327.63
0.07,328.467
0.075,329.359
0.08,330.308
0.085,331.317
0.09,332.387
0.095,333.524
0.1,334.507
-2.31E-34,321.244
0.005,321.37
0.01,321.643
0.015,321.959
0.02,322.316
0.025,322.717
0.03,323.162
0.035,323.652
0.04,324.187
0.045,324.769
0.05,325.4
0.055,326.079
0.06,326.809
0.065,327.591
0.07,328.427
0.075,329.318
0.08,330.267
0.085,331.275
0.09,332.345
0.095,333.481
0.1,334.464
-2.02E-34,321.192
0.005,321.318
0.01,321.591
0.015,321.905
0.02,322.262
0.025,322.662
0.03,323.106
0.035,323.595
0.04,324.129
0.045,324.71
0.05,325.339
0.055,326.017
0.06,326.746
0.065,327.526
0.07,328.361
0.075,329.25
0.08,330.198
0.085,331.205
0.09,332.274
0.095,333.41
0.1,334.392
-1.73E-34,321.121
0.005,321.246
0.01,321.518
0.015,321.831
0.02,322.187
0.025,322.585
0.03,323.028
0.035,323.515
0.04,324.047
0.045,324.627
0.05,325.254
0.055,325.93
0.06,326.656
0.065,327.435
0.07,328.267
0.075,329.155
0.08,330.101
0.085,331.106
0.09,332.175
0.095,333.309
0.1,334.291
-1.44E-34,321.028
0.005,321.153
0.01,321.424
0.015,321.736
0.02,322.09
0.025,322.487
0.03,322.927
0.035,323.412
0.04,323.943
0.045,324.52
0.05,325.144
0.055,325.818
0.06,326.542
0.065,327.318
0.07,328.147
0.075,329.032
0.08,329.976
0.085,330.979
0.09,332.046
0.095,333.179
0.1,334.16
0.005,321.04
-1.16E-34,320.916
0.01,321.309
0.015,321.62
0.02,321.972
0.025,322.367
0.03,322.805
0.035,323.287
0.04,323.815
0.045,324.389
0.05,325.01
0.055,325.681
0.06,326.401
0.065,327.174
0.07,328
0.075,328.882
0.08,329.822
0.085,330.822
0.09,331.886
0.095,333.019
0.1,333.999
0.005,320.906
-8.67E-35,320.783
0.01,321.174
0.015,321.482
0.02,321.832
0.025,322.225
0.03,322.66
0.035,323.14
0.04,323.664
0.045,324.235
0.05,324.852
0.055,325.519
0.06,326.235
0.065,327.003
0.07,327.825
0.075,328.703
0.08,329.638
0.085,330.635
0.09,331.696
0.095,332.826
0.1,333.805
0.005,320.752
-5.78E-35,320.63
0.01,321.018
0.015,321.324
0.02,321.672
0.025,322.061
0.03,322.493
0.035,322.969
0.04,323.49
0.045,324.057
0.05,324.67
0.055,325.332
0.06,326.043
0.065,326.806
0.07,327.623
0.075,328.495
0.08,329.425
0.085,330.417
0.09,331.474
0.095,332.6
0.1,333.577
0.005,320.578
-2.89E-35,320.457
0.01,320.842
0.015,321.145
0.02,321.49
0.025,321.876
0.03,322.305
0.035,322.777
0.04,323.293
0.045,323.855
0.05,324.464
0.055,325.12
0.06,325.826
0.065,326.583
0.07,327.393
0.075,328.259
0.08,329.182
0.085,330.167
0.09,331.218
0.095,332.339
0.1,333.313
0,320.365
0.005,320.486
0.01,320.749
0.015,321.051
0.02,321.394
0.025,321.778
0.03,322.205
0.035,322.675
0.04,323.189
0.045,323.749
0.05,324.354
0.055,325.008
0.06,325.711
0.065,326.464
0.07,327.271
0.075,328.133
0.08,329.053
0.085,330.034
0.09,331.081
0.095,332.199
0.1,333.04
